Designator,Mid X,Mid Y,Rotation,Layer
D1_6,22.511,-2.9957,90.0,top
D1_5,49.4301,-3.059,90.0,top
D1_4,76.105,-3.1227,90.0,top
D1_3,38.86635,26.23435,270.0,top
D1_2,92.46035,26.10735,270.0,top
D1,65.54125,26.17065,270.0,top
D2_6,24.932,-3.0372,90.0,top
D2_5,51.8511,-3.1005,90.0,top
D2_4,78.526,-3.1642,90.0,top
D2_3,36.44535,26.27585,270.0,top
D2_2,90.03935,26.14885,270.0,top
D2,63.12025,26.21215,270.0,top
J1_6,19.338,-30.226,180.0,top
J1_5,46.2571,-30.2893,180.0,top
J1_4,72.932,-30.353,180.0,top
J1_3,42.03935,53.46465,0.0,top
J1_2,95.63335,53.33765,0.0,top
J1,68.71425,53.40095,0.0,top
J2_6,42.198,-30.226,180.0,top
J2_5,69.1171,-30.2893,180.0,top
J2_4,95.792,-30.353,180.0,top
J2_3,19.17935,53.46465,0.0,top
J2_2,72.77335,53.33765,0.0,top
J2,45.85425,53.40095,0.0,top
J3_6,30.768,-9.906,270.0,top
J3_5,57.6871,-9.9693,270.0,top
J3_4,84.362,-10.033,270.0,top
J3_3,30.60935,33.14465,90.0,top
J3_2,84.20335,33.01765,90.0,top
J3,57.28425,33.08095,90.0,top
J4_6,30.768,-7.366,270.0,top
J4_5,57.6871,-7.4293,270.0,top
J4_4,84.362,-7.493,270.0,top
J4_3,30.60935,30.60465,90.0,top
J4_2,84.20335,30.47765,90.0,top
J4,57.28425,30.54095,90.0,top
U1_6,30.923,-20.196,180.0,top
U1_5,57.8421,-20.2593,180.0,top
U1_4,84.517,-20.323,180.0,top
U1_3,30.45435,43.43465,0.0,top
U1_2,84.04835,43.30765,0.0,top
U1,57.12925,43.37095,0.0,top
U2_6,30.768,6.604,270.0,top
U2_5,57.6871,6.5407,270.0,top
U2_4,84.362,6.477,270.0,top
U2_3,30.60935,16.63465,90.0,top
U2_2,84.20335,16.50765,90.0,top
U2,57.28425,16.57095,90.0,top
U3_6,36.483,-6.731,180.0,top
U3_5,63.4021,-6.7943,180.0,top
U3_4,90.077,-6.858,180.0,top
U3_3,24.89435,29.96965,0.0,top
U3_2,78.48835,29.84265,0.0,top
U3,51.56925,29.90595,0.0,top
U4_6,83.0482,-3.1598,90.0,top
U4_5,56.3733,-3.0961,90.0,top
U4_4,29.4542,-3.0328,90.0,top
U4_3,31.92315,26.27145,270.0,top
U4_2,85.51715,26.14445,270.0,top
U4,58.59805,26.20775,270.0,top
U5_6,81.0709,-3.1826,270.0,top
U5_5,27.4769,-3.0556,270.0,top
U5_4,54.396,-3.1189,270.0,top
U5_3,33.90045,26.29425,90.0,top
U5_2,87.49445,26.16725,90.0,top
U5,60.57535,26.23055,90.0,top
U6_6,85.1184,-3.1635,90.0,top
U6_5,58.4435,-3.0998,90.0,top
U6_4,31.5244,-3.0365,90.0,top
U6_3,29.85295,26.27515,270.0,top
U6_2,83.44695,26.14815,270.0,top
U6,56.52785,26.21145,270.0,top
